model,task,tokens
Snowflake/snowflake-arctic-embed-l-v2.0,LLMPublicHealthQA,33511
Snowflake/snowflake-arctic-embed-l-v2.0,BioMeSHClassification,899377
Snowflake/snowflake-arctic-embed-l-v2.0,PubChemSynonymPC500,13503
Snowflake/snowflake-arctic-embed-l-v2.0,R2MEDBiologyPooled,276114
Snowflake/snowflake-arctic-embed-l-v2.0,GOPubMedRetrieval,118418
Snowflake/snowflake-arctic-embed-l-v2.0,GOProteinPairCls,178762
Qwen/Qwen3-Embedding-0.6B,LLMBIOSSES,7549
Qwen/Qwen3-Embedding-0.6B,LLMSTSBenchmark,13319
Qwen/Qwen3-Embedding-0.6B,LLMBiorxivClusteringP2PV2,323095
Qwen/Qwen3-Embedding-0.6B,LLMMedrxivClusteringP2PV2,424978
Qwen/Qwen3-Embedding-0.6B,LLMMedrxivClusteringS2SV2,25186
Qwen/Qwen3-Embedding-0.6B,LLMToxicConversationsClassification,3394731
Qwen/Qwen3-Embedding-0.6B,LLMPublicHealthQA,30444
Qwen/Qwen3-Embedding-0.6B,BioMeSHClassification,808263
Qwen/Qwen3-Embedding-0.6B,PubChemSynonymPC500,13051
Qwen/Qwen3-Embedding-0.6B,R2MEDBiologyPooled,242469
Qwen/Qwen3-Embedding-0.6B,GOPubMedRetrieval,102756
Qwen/Qwen3-Embedding-0.6B,GOProteinPairCls,162705
Qwen/Qwen3-Embedding-4B,LLMBIOSSES,7549
Qwen/Qwen3-Embedding-4B,LLMSTSBenchmark,13319
Qwen/Qwen3-Embedding-4B,LLMBiorxivClusteringP2PV2,323095
Qwen/Qwen3-Embedding-4B,LLMMedrxivClusteringP2PV2,424978
Qwen/Qwen3-Embedding-4B,LLMMedrxivClusteringS2SV2,25186
Qwen/Qwen3-Embedding-4B,LLMToxicConversationsClassification,3394731
Qwen/Qwen3-Embedding-4B,LLMPublicHealthQA,30444
Qwen/Qwen3-Embedding-4B,BioMeSHClassification,808263
Qwen/Qwen3-Embedding-4B,PubChemSynonymPC500,13051
Qwen/Qwen3-Embedding-4B,R2MEDBiologyPooled,242469
Qwen/Qwen3-Embedding-4B,GOPubMedRetrieval,102756
Qwen/Qwen3-Embedding-4B,GOProteinPairCls,162705
Qwen/Qwen3-Embedding-8B,LLMBIOSSES,7549
Qwen/Qwen3-Embedding-8B,LLMSTSBenchmark,13319
Qwen/Qwen3-Embedding-8B,LLMBiorxivClusteringP2PV2,323095
Qwen/Qwen3-Embedding-8B,LLMMedrxivClusteringP2PV2,424978
Qwen/Qwen3-Embedding-8B,LLMMedrxivClusteringS2SV2,25186
Qwen/Qwen3-Embedding-8B,LLMToxicConversationsClassification,3394731
Qwen/Qwen3-Embedding-8B,LLMPublicHealthQA,30444
Qwen/Qwen3-Embedding-8B,BioMeSHClassification,808263
Qwen/Qwen3-Embedding-8B,PubChemSynonymPC500,13051
Qwen/Qwen3-Embedding-8B,R2MEDBiologyPooled,242469
Qwen/Qwen3-Embedding-8B,GOPubMedRetrieval,102756
Qwen/Qwen3-Embedding-8B,GOProteinPairCls,162705
NeuML/pubmedbert-base-embeddings,LLMBIOSSES,6499
NeuML/pubmedbert-base-embeddings,LLMSTSBenchmark,15439
NeuML/pubmedbert-base-embeddings,LLMBiorxivClusteringP2PV2,294080
NeuML/pubmedbert-base-embeddings,LLMMedrxivClusteringP2PV2,390808
NeuML/pubmedbert-base-embeddings,LLMMedrxivClusteringS2SV2,23072
NeuML/pubmedbert-base-embeddings,LLMToxicConversationsClassification,3745043
NeuML/pubmedbert-base-embeddings,LLMPublicHealthQA,30715
NeuML/pubmedbert-base-embeddings,BioMeSHClassification,702341
NeuML/pubmedbert-base-embeddings,PubChemSynonymPC500,12386
NeuML/pubmedbert-base-embeddings,R2MEDBiologyPooled,227662
NeuML/pubmedbert-base-embeddings,GOPubMedRetrieval,87720
NeuML/pubmedbert-base-embeddings,GOProteinPairCls,133346
ncbi/MedCPT-Query-Encoder,LLMBIOSSES,6499
ncbi/MedCPT-Query-Encoder,LLMSTSBenchmark,15439
ncbi/MedCPT-Query-Encoder,LLMBiorxivClusteringP2PV2,294080
ncbi/MedCPT-Query-Encoder,LLMMedrxivClusteringP2PV2,390808
ncbi/MedCPT-Query-Encoder,LLMMedrxivClusteringS2SV2,23072
ncbi/MedCPT-Query-Encoder,LLMToxicConversationsClassification,3745043
ncbi/MedCPT-Query-Encoder,LLMPublicHealthQA,30715
ncbi/MedCPT-Query-Encoder,BioMeSHClassification,702341
ncbi/MedCPT-Query-Encoder,PubChemSynonymPC500,12386
ncbi/MedCPT-Query-Encoder,R2MEDBiologyPooled,227662
ncbi/MedCPT-Query-Encoder,GOPubMedRetrieval,87720
ncbi/MedCPT-Query-Encoder,GOProteinPairCls,133346
abhinand/MedEmbed-small-v0.1,LLMBIOSSES,7861
abhinand/MedEmbed-small-v0.1,LLMSTSBenchmark,14009
abhinand/MedEmbed-small-v0.1,LLMBiorxivClusteringP2PV2,338350
abhinand/MedEmbed-small-v0.1,LLMMedrxivClusteringP2PV2,427866
abhinand/MedEmbed-small-v0.1,LLMMedrxivClusteringS2SV2,26487
abhinand/MedEmbed-small-v0.1,LLMToxicConversationsClassification,3478575
abhinand/MedEmbed-small-v0.1,LLMPublicHealthQA,30881
abhinand/MedEmbed-small-v0.1,BioMeSHClassification,821393
abhinand/MedEmbed-small-v0.1,PubChemSynonymPC500,14819
abhinand/MedEmbed-small-v0.1,R2MEDBiologyPooled,245575
abhinand/MedEmbed-small-v0.1,GOPubMedRetrieval,108074
abhinand/MedEmbed-small-v0.1,GOProteinPairCls,167835
abhinand/MedEmbed-base-v0.1,LLMBIOSSES,7861
abhinand/MedEmbed-base-v0.1,LLMSTSBenchmark,14009
abhinand/MedEmbed-base-v0.1,LLMBiorxivClusteringP2PV2,338350
abhinand/MedEmbed-base-v0.1,LLMMedrxivClusteringP2PV2,427866
abhinand/MedEmbed-base-v0.1,LLMMedrxivClusteringS2SV2,26487
abhinand/MedEmbed-base-v0.1,LLMToxicConversationsClassification,3478575
abhinand/MedEmbed-base-v0.1,LLMPublicHealthQA,30881
abhinand/MedEmbed-base-v0.1,BioMeSHClassification,821393
abhinand/MedEmbed-base-v0.1,PubChemSynonymPC500,14819
abhinand/MedEmbed-base-v0.1,R2MEDBiologyPooled,245575
abhinand/MedEmbed-base-v0.1,GOPubMedRetrieval,108074
abhinand/MedEmbed-base-v0.1,GOProteinPairCls,167835
abhinand/MedEmbed-large-v0.1,LLMBIOSSES,7861
abhinand/MedEmbed-large-v0.1,LLMSTSBenchmark,14009
abhinand/MedEmbed-large-v0.1,LLMBiorxivClusteringP2PV2,338350
abhinand/MedEmbed-large-v0.1,LLMMedrxivClusteringP2PV2,427866
abhinand/MedEmbed-large-v0.1,LLMMedrxivClusteringS2SV2,26487
abhinand/MedEmbed-large-v0.1,LLMToxicConversationsClassification,3478575
abhinand/MedEmbed-large-v0.1,LLMPublicHealthQA,30881
abhinand/MedEmbed-large-v0.1,BioMeSHClassification,821393
abhinand/MedEmbed-large-v0.1,PubChemSynonymPC500,14819
abhinand/MedEmbed-large-v0.1,R2MEDBiologyPooled,245575
abhinand/MedEmbed-large-v0.1,GOPubMedRetrieval,108074
abhinand/MedEmbed-large-v0.1,GOProteinPairCls,167835
FremyCompany/BioLORD-2023,LLMBIOSSES,7861
FremyCompany/BioLORD-2023,LLMSTSBenchmark,14009
FremyCompany/BioLORD-2023,LLMBiorxivClusteringP2PV2,338350
FremyCompany/BioLORD-2023,LLMMedrxivClusteringP2PV2,427866
FremyCompany/BioLORD-2023,LLMMedrxivClusteringS2SV2,26487
FremyCompany/BioLORD-2023,LLMToxicConversationsClassification,3478575
FremyCompany/BioLORD-2023,LLMPublicHealthQA,30881
FremyCompany/BioLORD-2023,BioMeSHClassification,821393
FremyCompany/BioLORD-2023,PubChemSynonymPC500,14819
FremyCompany/BioLORD-2023,R2MEDBiologyPooled,245575
FremyCompany/BioLORD-2023,GOPubMedRetrieval,108074
FremyCompany/BioLORD-2023,GOProteinPairCls,167835
