model,model_type,task,category,score,source
BAAI__bge-large-en-v1.5,embedding,LLMPublicHealthQA,Retrieval,0.64,ours
BAAI__bge-large-en-v1.5,embedding,LLMSTSBenchmark,STS,0.888928,ours
BAAI__bge-large-en-v1.5,embedding,LLMToxicConversationsClassification,Classification,0.6654,ours
BAAI__bge-large-en-v1.5,embedding,PubChemSynonymPC500,PairClassification,0.615537,ours
BAAI__bge-large-en-v1.5,embedding,R2MEDBiologyPooled,Retrieval,0.20924,ours
BAAI__bge-m3,embedding,LLMBIOSSES,STS,0.83417,paper
BAAI__bge-m3,embedding,LLMBiorxivClusteringP2PV2,Clustering,0.497283,paper
BAAI__bge-m3,embedding,LLMMedrxivClusteringP2PV2,Clustering,0.431247,paper
BAAI__bge-m3,embedding,LLMMedrxivClusteringS2SV2,Clustering,0.407004,paper
BAAI__bge-m3,embedding,LLMPublicHealthQA,Retrieval,0.74,paper
BAAI__bge-m3,embedding,LLMSTSBenchmark,STS,0.859792,paper
BAAI__bge-m3,embedding,LLMToxicConversationsClassification,Classification,0.6476,paper
BAAI__bge-small-en-v1.5,embedding,BioMeSHClassification,Classification,0.6106,ours
BAAI__bge-small-en-v1.5,embedding,GOProteinPairCls,PairClassification,0.775229,ours
BAAI__bge-small-en-v1.5,embedding,GOPubMedRetrieval,Retrieval,0.25833,ours
BAAI__bge-small-en-v1.5,embedding,LLMBIOSSES,STS,0.837549,ours
BAAI__bge-small-en-v1.5,embedding,LLMBiorxivClusteringP2PV2,Clustering,0.5039,ours
BAAI__bge-small-en-v1.5,embedding,LLMMedrxivClusteringP2PV2,Clustering,0.489578,ours
BAAI__bge-small-en-v1.5,embedding,LLMMedrxivClusteringS2SV2,Clustering,0.453823,ours
BAAI__bge-small-en-v1.5,embedding,LLMPublicHealthQA,Retrieval,0.59,ours
BAAI__bge-small-en-v1.5,embedding,LLMSTSBenchmark,STS,0.865716,ours
BAAI__bge-small-en-v1.5,embedding,LLMToxicConversationsClassification,Classification,0.6564,ours
BAAI__bge-small-en-v1.5,embedding,PubChemSynonymPC500,PairClassification,0.604446,ours
BAAI__bge-small-en-v1.5,embedding,R2MEDBiologyPooled,Retrieval,0.21915,ours
FremyCompany__BioLORD-2023,embedding,BioMeSHClassification,Classification,0.6484,ours
FremyCompany__BioLORD-2023,embedding,GOProteinPairCls,PairClassification,0.760077,ours
FremyCompany__BioLORD-2023,embedding,GOPubMedRetrieval,Retrieval,0.24913,ours
FremyCompany__BioLORD-2023,embedding,LLMBIOSSES,STS,0.871755,ours
FremyCompany__BioLORD-2023,embedding,LLMBiorxivClusteringP2PV2,Clustering,0.490938,ours
FremyCompany__BioLORD-2023,embedding,LLMMedrxivClusteringP2PV2,Clustering,0.458725,ours
FremyCompany__BioLORD-2023,embedding,LLMMedrxivClusteringS2SV2,Clustering,0.450178,ours
FremyCompany__BioLORD-2023,embedding,LLMPublicHealthQA,Retrieval,0.62,ours
FremyCompany__BioLORD-2023,embedding,LLMSTSBenchmark,STS,0.868208,ours
FremyCompany__BioLORD-2023,embedding,LLMToxicConversationsClassification,Classification,0.6212,ours
FremyCompany__BioLORD-2023,embedding,PubChemSynonymPC500,PairClassification,0.657144,ours
FremyCompany__BioLORD-2023,embedding,R2MEDBiologyPooled,Retrieval,0.18341,ours
GritLM__GritLM-7B,embedding,LLMBIOSSES,STS,0.653449,paper
GritLM__GritLM-7B,embedding,LLMBiorxivClusteringP2PV2,Clustering,0.516631,paper
GritLM__GritLM-7B,embedding,LLMMedrxivClusteringP2PV2,Clustering,0.465218,paper
GritLM__GritLM-7B,embedding,LLMMedrxivClusteringS2SV2,Clustering,0.426833,paper
GritLM__GritLM-7B,embedding,LLMPublicHealthQA,Retrieval,0.18,paper
GritLM__GritLM-7B,embedding,LLMSTSBenchmark,STS,0.528845,paper
GritLM__GritLM-7B,embedding,LLMToxicConversationsClassification,Classification,0.6138,paper
ICT-TIME-and-Querit__BOOM_4B_v1,embedding,LLMBIOSSES,STS,0.855544,paper
ICT-TIME-and-Querit__BOOM_4B_v1,embedding,LLMBiorxivClusteringP2PV2,Clustering,0.678525,paper
ICT-TIME-and-Querit__BOOM_4B_v1,embedding,LLMMedrxivClusteringP2PV2,Clustering,0.593709,paper
ICT-TIME-and-Querit__BOOM_4B_v1,embedding,LLMMedrxivClusteringS2SV2,Clustering,0.556091,paper
ICT-TIME-and-Querit__BOOM_4B_v1,embedding,LLMSTSBenchmark,STS,0.876014,paper
ICT-TIME-and-Querit__BOOM_4B_v1,embedding,LLMToxicConversationsClassification,Classification,0.8766,paper
Linq-AI-Research__Linq-Embed-Mistral,embedding,LLMBIOSSES,STS,0.860839,paper
Linq-AI-Research__Linq-Embed-Mistral,embedding,LLMBiorxivClusteringP2PV2,Clustering,0.613377,paper
Linq-AI-Research__Linq-Embed-Mistral,embedding,LLMMedrxivClusteringP2PV2,Clustering,0.51471,paper
Linq-AI-Research__Linq-Embed-Mistral,embedding,LLMMedrxivClusteringS2SV2,Clustering,0.527578,paper
Linq-AI-Research__Linq-Embed-Mistral,embedding,LLMPublicHealthQA,Retrieval,0.78,paper
Linq-AI-Research__Linq-Embed-Mistral,embedding,LLMSTSBenchmark,STS,0.890406,paper
Linq-AI-Research__Linq-Embed-Mistral,embedding,LLMToxicConversationsClassification,Classification,0.702,paper
NeuML__pubmedbert-base-embeddings,embedding,BioMeSHClassification,Classification,0.654,ours
NeuML__pubmedbert-base-embeddings,embedding,GOProteinPairCls,PairClassification,0.838639,ours
NeuML__pubmedbert-base-embeddings,embedding,GOPubMedRetrieval,Retrieval,0.25678,ours
NeuML__pubmedbert-base-embeddings,embedding,LLMBIOSSES,STS,0.839585,ours
NeuML__pubmedbert-base-embeddings,embedding,LLMBiorxivClusteringP2PV2,Clustering,0.534418,ours
NeuML__pubmedbert-base-embeddings,embedding,LLMMedrxivClusteringP2PV2,Clustering,0.478504,ours
NeuML__pubmedbert-base-embeddings,embedding,LLMMedrxivClusteringS2SV2,Clustering,0.431971,ours
NeuML__pubmedbert-base-embeddings,embedding,LLMPublicHealthQA,Retrieval,0.53,ours
NeuML__pubmedbert-base-embeddings,embedding,LLMSTSBenchmark,STS,0.685441,ours
NeuML__pubmedbert-base-embeddings,embedding,LLMToxicConversationsClassification,Classification,0.5786,ours
NeuML__pubmedbert-base-embeddings,embedding,PubChemSynonymPC500,PairClassification,0.636726,ours
NeuML__pubmedbert-base-embeddings,embedding,R2MEDBiologyPooled,Retrieval,0.15579,ours
Qwen__Qwen3-Embedding-0.6B,embedding,BioMeSHClassification,Classification,0.4012,ours
Qwen__Qwen3-Embedding-0.6B,embedding,GOProteinPairCls,PairClassification,0.827367,ours
Qwen__Qwen3-Embedding-0.6B,embedding,GOPubMedRetrieval,Retrieval,0.28757,ours
Qwen__Qwen3-Embedding-0.6B,embedding,LLMBIOSSES,STS,0.845598,paper
Qwen__Qwen3-Embedding-0.6B,embedding,LLMBiorxivClusteringP2PV2,Clustering,0.618442,paper
Qwen__Qwen3-Embedding-0.6B,embedding,LLMMedrxivClusteringP2PV2,Clustering,0.529052,paper
Qwen__Qwen3-Embedding-0.6B,embedding,LLMMedrxivClusteringS2SV2,Clustering,0.511145,paper
Qwen__Qwen3-Embedding-0.6B,embedding,LLMPublicHealthQA,Retrieval,0.68,paper
Qwen__Qwen3-Embedding-0.6B,embedding,LLMSTSBenchmark,STS,0.912924,paper
Qwen__Qwen3-Embedding-0.6B,embedding,LLMToxicConversationsClassification,Classification,0.8188,paper
Qwen__Qwen3-Embedding-0.6B,embedding,PubChemSynonymPC500,PairClassification,0.703716,ours
Qwen__Qwen3-Embedding-0.6B,embedding,R2MEDBiologyPooled,Retrieval,0.25206,ours
Qwen__Qwen3-Embedding-4B,embedding,LLMBIOSSES,STS,0.847754,paper
Qwen__Qwen3-Embedding-4B,embedding,LLMBiorxivClusteringP2PV2,Clustering,0.63979,paper
Qwen__Qwen3-Embedding-4B,embedding,LLMMedrxivClusteringP2PV2,Clustering,0.554543,paper
Qwen__Qwen3-Embedding-4B,embedding,LLMMedrxivClusteringS2SV2,Clustering,0.541027,paper
Qwen__Qwen3-Embedding-4B,embedding,LLMPublicHealthQA,Retrieval,0.75,paper
Qwen__Qwen3-Embedding-4B,embedding,LLMSTSBenchmark,STS,0.937118,paper
Qwen__Qwen3-Embedding-4B,embedding,LLMToxicConversationsClassification,Classification,0.9226,paper
Qwen__Qwen3-Embedding-8B,embedding,LLMBIOSSES,STS,0.819663,paper
Qwen__Qwen3-Embedding-8B,embedding,LLMBiorxivClusteringP2PV2,Clustering,0.652991,paper
Qwen__Qwen3-Embedding-8B,embedding,LLMMedrxivClusteringP2PV2,Clustering,0.55876,paper
Qwen__Qwen3-Embedding-8B,embedding,LLMMedrxivClusteringS2SV2,Clustering,0.551645,paper
Qwen__Qwen3-Embedding-8B,embedding,LLMPublicHealthQA,Retrieval,0.78,paper
Qwen__Qwen3-Embedding-8B,embedding,LLMSTSBenchmark,STS,0.933774,paper
Qwen__Qwen3-Embedding-8B,embedding,LLMToxicConversationsClassification,Classification,0.92,paper
Salesforce__SFR-Embedding-2_R,embedding,LLMBIOSSES,STS,0.874755,paper
Salesforce__SFR-Embedding-2_R,embedding,LLMBiorxivClusteringP2PV2,Clustering,0.655949,paper
Salesforce__SFR-Embedding-2_R,embedding,LLMMedrxivClusteringP2PV2,Clustering,0.589053,paper
Salesforce__SFR-Embedding-2_R,embedding,LLMMedrxivClusteringS2SV2,Clustering,0.575359,paper
Salesforce__SFR-Embedding-2_R,embedding,LLMPublicHealthQA,Retrieval,0.74,paper
Salesforce__SFR-Embedding-2_R,embedding,LLMSTSBenchmark,STS,0.826452,paper
Salesforce__SFR-Embedding-2_R,embedding,LLMToxicConversationsClassification,Classification,0.9188,paper
Salesforce__SFR-Embedding-Mistral,embedding,LLMBIOSSES,STS,0.860526,paper
Salesforce__SFR-Embedding-Mistral,embedding,LLMBiorxivClusteringP2PV2,Clustering,0.628498,paper
Salesforce__SFR-Embedding-Mistral,embedding,LLMMedrxivClusteringP2PV2,Clustering,0.531724,paper
Salesforce__SFR-Embedding-Mistral,embedding,LLMMedrxivClusteringS2SV2,Clustering,0.525844,paper
Salesforce__SFR-Embedding-Mistral,embedding,LLMSTSBenchmark,STS,0.891971,paper
Salesforce__SFR-Embedding-Mistral,embedding,LLMToxicConversationsClassification,Classification,0.6596,paper
Snowflake__snowflake-arctic-embed-l-v2.0,embedding,BioMeSHClassification,Classification,0.6874,ours
Snowflake__snowflake-arctic-embed-l-v2.0,embedding,GOProteinPairCls,PairClassification,0.758626,ours
Snowflake__snowflake-arctic-embed-l-v2.0,embedding,GOPubMedRetrieval,Retrieval,0.2809,ours
Snowflake__snowflake-arctic-embed-l-v2.0,embedding,LLMBIOSSES,STS,0.871936,paper
Snowflake__snowflake-arctic-embed-l-v2.0,embedding,LLMBiorxivClusteringP2PV2,Clustering,0.487487,paper
Snowflake__snowflake-arctic-embed-l-v2.0,embedding,LLMMedrxivClusteringP2PV2,Clustering,0.464929,paper
Snowflake__snowflake-arctic-embed-l-v2.0,embedding,LLMMedrxivClusteringS2SV2,Clustering,0.44042,paper
Snowflake__snowflake-arctic-embed-l-v2.0,embedding,LLMPublicHealthQA,Retrieval,0.76,paper
Snowflake__snowflake-arctic-embed-l-v2.0,embedding,LLMSTSBenchmark,STS,0.784344,paper
Snowflake__snowflake-arctic-embed-l-v2.0,embedding,LLMToxicConversationsClassification,Classification,0.615,paper
Snowflake__snowflake-arctic-embed-l-v2.0,embedding,PubChemSynonymPC500,PairClassification,0.544339,ours
Snowflake__snowflake-arctic-embed-l-v2.0,embedding,R2MEDBiologyPooled,Retrieval,0.24365,ours
abhinand__MedEmbed-base-v0.1,embedding,BioMeSHClassification,Classification,0.6706,ours
abhinand__MedEmbed-base-v0.1,embedding,GOProteinPairCls,PairClassification,0.814821,ours
abhinand__MedEmbed-base-v0.1,embedding,GOPubMedRetrieval,Retrieval,0.2869,ours
abhinand__MedEmbed-base-v0.1,embedding,LLMBIOSSES,STS,0.852164,ours
abhinand__MedEmbed-base-v0.1,embedding,LLMBiorxivClusteringP2PV2,Clustering,0.54061,ours
abhinand__MedEmbed-base-v0.1,embedding,LLMMedrxivClusteringP2PV2,Clustering,0.469477,ours
abhinand__MedEmbed-base-v0.1,embedding,LLMMedrxivClusteringS2SV2,Clustering,0.450221,ours
abhinand__MedEmbed-base-v0.1,embedding,LLMPublicHealthQA,Retrieval,0.71,ours
abhinand__MedEmbed-base-v0.1,embedding,LLMSTSBenchmark,STS,0.872137,ours
abhinand__MedEmbed-base-v0.1,embedding,LLMToxicConversationsClassification,Classification,0.663,ours
abhinand__MedEmbed-base-v0.1,embedding,PubChemSynonymPC500,PairClassification,0.579224,ours
abhinand__MedEmbed-base-v0.1,embedding,R2MEDBiologyPooled,Retrieval,0.19949,ours
abhinand__MedEmbed-large-v0.1,embedding,BioMeSHClassification,Classification,0.645,ours
abhinand__MedEmbed-large-v0.1,embedding,GOProteinPairCls,PairClassification,0.804693,ours
abhinand__MedEmbed-large-v0.1,embedding,GOPubMedRetrieval,Retrieval,0.28313,ours
abhinand__MedEmbed-large-v0.1,embedding,LLMBIOSSES,STS,0.869887,ours
abhinand__MedEmbed-large-v0.1,embedding,LLMBiorxivClusteringP2PV2,Clustering,0.569208,ours
abhinand__MedEmbed-large-v0.1,embedding,LLMMedrxivClusteringP2PV2,Clustering,0.478048,ours
abhinand__MedEmbed-large-v0.1,embedding,LLMMedrxivClusteringS2SV2,Clustering,0.443908,ours
abhinand__MedEmbed-large-v0.1,embedding,LLMPublicHealthQA,Retrieval,0.67,ours
abhinand__MedEmbed-large-v0.1,embedding,LLMSTSBenchmark,STS,0.865526,ours
abhinand__MedEmbed-large-v0.1,embedding,LLMToxicConversationsClassification,Classification,0.6498,ours
abhinand__MedEmbed-large-v0.1,embedding,PubChemSynonymPC500,PairClassification,0.601605,ours
abhinand__MedEmbed-large-v0.1,embedding,R2MEDBiologyPooled,Retrieval,0.19968,ours
abhinand__MedEmbed-small-v0.1,embedding,BioMeSHClassification,Classification,0.638,ours
abhinand__MedEmbed-small-v0.1,embedding,GOProteinPairCls,PairClassification,0.779927,ours
abhinand__MedEmbed-small-v0.1,embedding,GOPubMedRetrieval,Retrieval,0.2669,ours
abhinand__MedEmbed-small-v0.1,embedding,LLMBIOSSES,STS,0.872032,ours
abhinand__MedEmbed-small-v0.1,embedding,LLMBiorxivClusteringP2PV2,Clustering,0.561369,ours
abhinand__MedEmbed-small-v0.1,embedding,LLMMedrxivClusteringP2PV2,Clustering,0.493526,ours
abhinand__MedEmbed-small-v0.1,embedding,LLMMedrxivClusteringS2SV2,Clustering,0.473638,ours
abhinand__MedEmbed-small-v0.1,embedding,LLMPublicHealthQA,Retrieval,0.67,ours
abhinand__MedEmbed-small-v0.1,embedding,LLMSTSBenchmark,STS,0.856107,ours
abhinand__MedEmbed-small-v0.1,embedding,LLMToxicConversationsClassification,Classification,0.659,ours
abhinand__MedEmbed-small-v0.1,embedding,PubChemSynonymPC500,PairClassification,0.569281,ours
abhinand__MedEmbed-small-v0.1,embedding,R2MEDBiologyPooled,Retrieval,0.21032,ours
bflhc__Octen-Embedding-8B,embedding,LLMBIOSSES,STS,0.843887,paper
bflhc__Octen-Embedding-8B,embedding,LLMBiorxivClusteringP2PV2,Clustering,0.616134,paper
bflhc__Octen-Embedding-8B,embedding,LLMMedrxivClusteringP2PV2,Clustering,0.559253,paper
bflhc__Octen-Embedding-8B,embedding,LLMMedrxivClusteringS2SV2,Clustering,0.532659,paper
bflhc__Octen-Embedding-8B,embedding,LLMPublicHealthQA,Retrieval,0.81,paper
bflhc__Octen-Embedding-8B,embedding,LLMSTSBenchmark,STS,0.932476,paper
bflhc__Octen-Embedding-8B,embedding,LLMToxicConversationsClassification,Classification,0.919,paper
codefuse-ai__F2LLM-v2-0.6B,embedding,LLMBIOSSES,STS,0.878412,paper
codefuse-ai__F2LLM-v2-0.6B,embedding,LLMBiorxivClusteringP2PV2,Clustering,0.711398,paper
codefuse-ai__F2LLM-v2-0.6B,embedding,LLMMedrxivClusteringP2PV2,Clustering,0.586742,paper
codefuse-ai__F2LLM-v2-0.6B,embedding,LLMMedrxivClusteringS2SV2,Clustering,0.545329,paper
codefuse-ai__F2LLM-v2-0.6B,embedding,LLMPublicHealthQA,Retrieval,0.8,paper
codefuse-ai__F2LLM-v2-0.6B,embedding,LLMSTSBenchmark,STS,0.876194,paper
codefuse-ai__F2LLM-v2-0.6B,embedding,LLMToxicConversationsClassification,Classification,0.5972,paper
codefuse-ai__F2LLM-v2-1.7B,embedding,LLMBIOSSES,STS,0.884665,paper
codefuse-ai__F2LLM-v2-1.7B,embedding,LLMBiorxivClusteringP2PV2,Clustering,0.772534,paper
codefuse-ai__F2LLM-v2-1.7B,embedding,LLMMedrxivClusteringP2PV2,Clustering,0.607255,paper
codefuse-ai__F2LLM-v2-1.7B,embedding,LLMMedrxivClusteringS2SV2,Clustering,0.561266,paper
codefuse-ai__F2LLM-v2-1.7B,embedding,LLMPublicHealthQA,Retrieval,0.82,paper
codefuse-ai__F2LLM-v2-1.7B,embedding,LLMSTSBenchmark,STS,0.876265,paper
codefuse-ai__F2LLM-v2-1.7B,embedding,LLMToxicConversationsClassification,Classification,0.6106,paper
codefuse-ai__F2LLM-v2-14B,embedding,LLMBIOSSES,STS,0.881972,paper
codefuse-ai__F2LLM-v2-14B,embedding,LLMBiorxivClusteringP2PV2,Clustering,0.755783,paper
codefuse-ai__F2LLM-v2-14B,embedding,LLMMedrxivClusteringP2PV2,Clustering,0.576984,paper
codefuse-ai__F2LLM-v2-14B,embedding,LLMMedrxivClusteringS2SV2,Clustering,0.567129,paper
codefuse-ai__F2LLM-v2-14B,embedding,LLMPublicHealthQA,Retrieval,0.85,paper
codefuse-ai__F2LLM-v2-14B,embedding,LLMSTSBenchmark,STS,0.8698,paper
codefuse-ai__F2LLM-v2-14B,embedding,LLMToxicConversationsClassification,Classification,0.5872,paper
codefuse-ai__F2LLM-v2-4B,embedding,LLMBIOSSES,STS,0.875399,paper
codefuse-ai__F2LLM-v2-4B,embedding,LLMBiorxivClusteringP2PV2,Clustering,0.742173,paper
codefuse-ai__F2LLM-v2-4B,embedding,LLMMedrxivClusteringP2PV2,Clustering,0.598126,paper
codefuse-ai__F2LLM-v2-4B,embedding,LLMMedrxivClusteringS2SV2,Clustering,0.547295,paper
codefuse-ai__F2LLM-v2-4B,embedding,LLMPublicHealthQA,Retrieval,0.83,paper
codefuse-ai__F2LLM-v2-4B,embedding,LLMSTSBenchmark,STS,0.871144,paper
codefuse-ai__F2LLM-v2-4B,embedding,LLMToxicConversationsClassification,Classification,0.6066,paper
codefuse-ai__F2LLM-v2-8B,embedding,LLMBIOSSES,STS,0.887755,paper
codefuse-ai__F2LLM-v2-8B,embedding,LLMBiorxivClusteringP2PV2,Clustering,0.755206,paper
codefuse-ai__F2LLM-v2-8B,embedding,LLMMedrxivClusteringP2PV2,Clustering,0.59169,paper
codefuse-ai__F2LLM-v2-8B,embedding,LLMMedrxivClusteringS2SV2,Clustering,0.54426,paper
codefuse-ai__F2LLM-v2-8B,embedding,LLMPublicHealthQA,Retrieval,0.85,paper
codefuse-ai__F2LLM-v2-8B,embedding,LLMSTSBenchmark,STS,0.865246,paper
codefuse-ai__F2LLM-v2-8B,embedding,LLMToxicConversationsClassification,Classification,0.593,paper
google__embeddinggemma-300m,embedding,LLMBIOSSES,STS,0.832115,paper
google__embeddinggemma-300m,embedding,LLMBiorxivClusteringP2PV2,Clustering,0.627812,paper
google__embeddinggemma-300m,embedding,LLMMedrxivClusteringP2PV2,Clustering,0.543872,paper
google__embeddinggemma-300m,embedding,LLMMedrxivClusteringS2SV2,Clustering,0.509507,paper
google__embeddinggemma-300m,embedding,LLMPublicHealthQA,Retrieval,0.78,paper
google__embeddinggemma-300m,embedding,LLMSTSBenchmark,STS,0.888447,paper
google__embeddinggemma-300m,embedding,LLMToxicConversationsClassification,Classification,0.8338,paper
intfloat__e5-mistral-7b-instruct,embedding,LLMBIOSSES,STS,0.54691,paper
intfloat__e5-mistral-7b-instruct,embedding,LLMBiorxivClusteringP2PV2,Clustering,0.499256,paper
intfloat__e5-mistral-7b-instruct,embedding,LLMMedrxivClusteringP2PV2,Clustering,0.456219,paper
intfloat__e5-mistral-7b-instruct,embedding,LLMMedrxivClusteringS2SV2,Clustering,0.400058,paper
intfloat__e5-mistral-7b-instruct,embedding,LLMPublicHealthQA,Retrieval,0.47,paper
intfloat__e5-mistral-7b-instruct,embedding,LLMSTSBenchmark,STS,0.755355,paper
intfloat__e5-mistral-7b-instruct,embedding,LLMToxicConversationsClassification,Classification,0.6218,paper
intfloat__multilingual-e5-base,embedding,LLMBIOSSES,STS,0.861706,paper
intfloat__multilingual-e5-base,embedding,LLMBiorxivClusteringP2PV2,Clustering,0.461566,paper
intfloat__multilingual-e5-base,embedding,LLMMedrxivClusteringP2PV2,Clustering,0.431476,paper
intfloat__multilingual-e5-base,embedding,LLMMedrxivClusteringS2SV2,Clustering,0.44319,paper
intfloat__multilingual-e5-base,embedding,LLMPublicHealthQA,Retrieval,0.68,paper
intfloat__multilingual-e5-base,embedding,LLMSTSBenchmark,STS,0.844593,paper
intfloat__multilingual-e5-base,embedding,LLMToxicConversationsClassification,Classification,0.5714,paper
intfloat__multilingual-e5-large,embedding,LLMBIOSSES,STS,0.845881,paper
intfloat__multilingual-e5-large,embedding,LLMBiorxivClusteringP2PV2,Clustering,0.526632,paper
intfloat__multilingual-e5-large,embedding,LLMMedrxivClusteringP2PV2,Clustering,0.43184,paper
intfloat__multilingual-e5-large,embedding,LLMMedrxivClusteringS2SV2,Clustering,0.43901,paper
intfloat__multilingual-e5-large,embedding,LLMPublicHealthQA,Retrieval,0.73,paper
intfloat__multilingual-e5-large,embedding,LLMSTSBenchmark,STS,0.85801,paper
intfloat__multilingual-e5-large,embedding,LLMToxicConversationsClassification,Classification,0.5812,paper
intfloat__multilingual-e5-large-instruct,embedding,LLMBIOSSES,STS,0.869917,paper
intfloat__multilingual-e5-large-instruct,embedding,LLMBiorxivClusteringP2PV2,Clustering,0.57792,paper
intfloat__multilingual-e5-large-instruct,embedding,LLMMedrxivClusteringP2PV2,Clustering,0.518684,paper
intfloat__multilingual-e5-large-instruct,embedding,LLMMedrxivClusteringS2SV2,Clustering,0.512261,paper
intfloat__multilingual-e5-large-instruct,embedding,LLMPublicHealthQA,Retrieval,0.73,paper
intfloat__multilingual-e5-large-instruct,embedding,LLMSTSBenchmark,STS,0.890076,paper
intfloat__multilingual-e5-large-instruct,embedding,LLMToxicConversationsClassification,Classification,0.6482,paper
intfloat__multilingual-e5-small,embedding,BioMeSHClassification,Classification,0.5886,ours
intfloat__multilingual-e5-small,embedding,GOProteinPairCls,PairClassification,0.771691,ours
intfloat__multilingual-e5-small,embedding,GOPubMedRetrieval,Retrieval,0.22646,ours
intfloat__multilingual-e5-small,embedding,LLMBIOSSES,STS,0.844164,paper
intfloat__multilingual-e5-small,embedding,LLMBiorxivClusteringP2PV2,Clustering,0.482386,paper
intfloat__multilingual-e5-small,embedding,LLMMedrxivClusteringP2PV2,Clustering,0.455022,paper
intfloat__multilingual-e5-small,embedding,LLMMedrxivClusteringS2SV2,Clustering,0.442703,paper
intfloat__multilingual-e5-small,embedding,LLMPublicHealthQA,Retrieval,0.64,paper
intfloat__multilingual-e5-small,embedding,LLMSTSBenchmark,STS,0.842057,paper
intfloat__multilingual-e5-small,embedding,LLMToxicConversationsClassification,Classification,0.5938,paper
intfloat__multilingual-e5-small,embedding,PubChemSynonymPC500,PairClassification,0.58696,ours
intfloat__multilingual-e5-small,embedding,R2MEDBiologyPooled,Retrieval,0.13092,ours
jinaai__jina-embeddings-v5-text-nano,embedding,LLMBIOSSES,STS,0.874086,paper
jinaai__jina-embeddings-v5-text-nano,embedding,LLMBiorxivClusteringP2PV2,Clustering,0.615726,paper
jinaai__jina-embeddings-v5-text-nano,embedding,LLMMedrxivClusteringP2PV2,Clustering,0.545732,paper
jinaai__jina-embeddings-v5-text-nano,embedding,LLMMedrxivClusteringS2SV2,Clustering,0.521236,paper
jinaai__jina-embeddings-v5-text-nano,embedding,LLMPublicHealthQA,Retrieval,0.74,paper
